"Issue ID","Work Item ID","Project Key","Issue Type","Summary","Description","Parent ID","Labels","External Link","Acceptance Criteria"
"gh-101-epic-story-3-task-1","gh-101-epic-story-3-task-1","AUTO","Sub-task","Screenshot baselines","Derived from Phase 3: Visual Regression (Day 3)","gh-101-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/101",""
"gh-101-epic-story-3-task-2","gh-101-epic-story-3-task-2","AUTO","Sub-task","Component snapshots","Derived from Phase 3: Visual Regression (Day 3)","gh-101-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/101",""
"gh-101-epic-story-3-task-3","gh-101-epic-story-3-task-3","AUTO","Sub-task","Cross-browser testing","Derived from Phase 3: Visual Regression (Day 3)","gh-101-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/101",""
"gh-100-epic","gh-100-epic","AUTO","Epic","[GH#100] Set Up Automated Dependency Updates","GitHub issue: https://github.com/kmcgarry1/edhrec-compare/issues/100
Labels: [object Object], [object Object], [object Object]

# Set Up Automated Dependency Updates

**Priority:** Low  
**Type:** DevOps / Maintenance  
**Component:** CI/CD, Dependencies  
**Effort:** Small (1 day)

## Problem

Dependencies are not automatically updated, leading to security vulnerabilities and outdated packages:

### Current Issues

- Manual dependency updates are time-consuming
- Security vulnerabilities may go unnoticed
- Missing out on bug fixes and performance improvements
- No automated testing of dependency updates
- Breaking changes discovered too late

### User Impact

- **Low:** Does not directly affect users immediately
- Security vulnerabilities in dependencies pose risk
- Missing performance improvements
- Technical debt accumulates over time

## Proposed Solution

### Dependabot Configuration

Enable GitHub Dependabot for automated dependency updates:

```yaml
# .github/dependabot.yml
version: 2
updates:
  # npm dependencies
  - package-ecosystem: ""npm""
    directory: ""/""
    schedule:
      interval: ""weekly""
      day: ""monday""
      time: ""09:00""
    open-pull-requests-limit: 5
    reviewers:
      - ""kmcgarry1""
    assignees:
      - ""kmcgarry1""
    commit-message:
      prefix: ""chore""
      include: ""scope""
    labels:
      - ""dependencies""
      - ""automated""

    # Group minor/patch updates
    groups:
      development-dependencies:
        dependency-type: ""development""
        update-types:
          - ""minor""
          - ""patch""
      production-dependencies:
        dependency-type: ""production""
        update-types:
          - ""minor""
          - ""patch""

    # Ignore specific packages
    ignore:
      # Wait for stable releases
      - dependency-name: ""vue""
        update-types: [""version-update:semver-major""]
      - dependency-name: ""vite""
        update-types: [""version-update:semver-major""]

  # GitHub Actions
  - package-ecosystem: ""github-actions""
    directory: ""/""
    schedule:
      interval: ""weekly""
    labels:
      - ""ci""
      - ""automated""
```

### Renovate Bot Alternative

More powerful than Dependabot with better configuration:

```json
// renovate.json
{
  ""extends"": [""config:base""],
  ""schedule"": [""before 10am on monday""],
  ""labels"": [""dependencies""],
  ""assignees"": [""kmcgarry1""],
  ""packageRules"": [
    {
      ""matchUpdateTypes"": [""minor"", ""patch""],
      ""groupName"": ""all non-major dependencies"",
      ""groupSlug"": ""all-minor-patch"",
      ""automerge"": true
    },
    {
      ""matchDepTypes"": [""devDependencies""],
      ""matchUpdateTypes"": [""minor"", ""patch""],
      ""automerge"": true
    },
    {
      ""matchPackagePatterns"": [""^eslint"", ""^prettier""],
      ""groupName"": ""linters"",
      ""automerge"": true
    },
    {
      ""matchPackagePatterns"": [""^@types/""],
      ""groupName"": ""TypeScript types"",
      ""automerge"": true
    }
  ],
  ""vulnerabilityAlerts"": {
    ""enabled"": true,
    ""labels"": [""security""],
    ""assignees"": [""kmcgarry1""]
  },
  ""prCreation"": ""not-pending"",
  ""prConcurrentLimit"": 5,
  ""prHourlyLimit"": 0
}
```

### CI Pipeline for Dependency PRs

```yaml
# .github/workflows/dependency-test.yml
name: Test Dependency Updates

on:
  pull_request:
    types: [opened, synchronize]
    paths:
      - ""package.json""
      - ""package-lock.json""

jobs:
  test-dependencies:
    runs-on: ubuntu-latest

    steps:
      - uses: actions/checkout@v4

      - name: Setup Node.js
        uses: actions/setup-node@v4
        with:
          node-version: ""18""
          cache: ""npm""

      - name: Install dependencies
        run: npm ci

      - name: Run linter
        run: npm run lint

      - name: Run type check
        run: npm run build

      - name: Run unit tests
        run: npm run test:unit:coverage

      - name: Run E2E tests
        run: npm run test:e2e

      - name: Check bundle size
        run: npm run size

      - name: Comment on PR
        if: always()
        uses: actions/github-script@v7
        with:
          script: |
            const fs = require('fs');
            const coverage = fs.readFileSync('coverage/coverage-summary.json', 'utf8');
            const { total } = JSON.parse(coverage);

            github.rest.issues.createComment({
              issue_number: context.issue.number,
              owner: context.repo.owner,
              repo: context.repo.repo,
              body: `## Dependency Update Test Results
              
              ✅ All tests passed
              📊 Coverage: ${total.lines.pct}%
              📦 Bundle size: within limits
              `
            });
```

### Auto-merge for Safe Updates

```yaml
# .github/workflows/auto-merge-dependabot.yml
name: Auto-merge Dependabot PRs

on:
  pull_request:
    types: [opened, synchronize]

jobs:
  auto-merge:
    runs-on: ubuntu-latest
    if: github.actor == 'dependabot[bot]'

    steps:
      - name: Check PR labels
        id: check-labels
        uses: actions/github-script@v7
        with:
          script: |
            const labels = context.payload.pull_request.labels.map(l => l.name);
            const isMinorOrPatch = labels.includes('dependencies') && 
                                   !context.payload.pull_request.title.includes('major');
            return isMinorOrPatch;

      - name: Auto-approve PR
        if: steps.check-labels.outputs.result == 'true'
        uses: actions/github-script@v7
        with:
          script: |
            github.rest.pulls.createReview({
              owner: context.repo.owner,
              repo: context.repo.repo,
              pull_number: context.payload.pull_request.number,
              event: 'APPROVE'
            });

      - name: Enable auto-merge
        if: steps.check-labels.outputs.result == 'true'
        run: gh pr merge --auto --squash ""${{ github.event.pull_request.number }}""
        env:
          GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}
```

## Technical Considerations

### Files to Create

- `.github/dependabot.yml` - Dependabot configuration
- `renovate.json` - Renovate configuration (alternative)
- `.github/workflows/dependency-test.yml` - Test pipeline
- `.github/workflows/auto-merge-dependabot.yml` - Auto-merge workflow

### Update Strategy

**Auto-merge (Safe):**

- Patch updates (1.0.x → 1.0.y)
- Minor updates for dev dependencies
- Type definition updates

**Manual Review (Risky):**

- Major version bumps
- Production dependency minors
- Framework updates (Vue, Vite)

**Security Alerts:**

- Always create immediate PR
- High priority review
- Auto-merge after CI passes

## Implementation Plan

### Phase 1: Dependabot Setup (Day 1)

1. Create `.github/dependabot.yml`
2. Configure update schedule
3. Set up grouping rules
4. Test with a few dependencies

### Phase 2: CI Integration (Day 1)

1. Create dependency-test workflow
2. Add bundle size checks
3. Configure auto-merge for safe updates
4. Test auto-merge pipeline

### Phase 3: Monitoring (Ongoing)

1. Review weekly dependency PRs
2. Monitor for breaking changes
3. Adjust ignore rules as needed
4. Update docs with process

## Acceptance Criteria

- [ ] Dependabot creates weekly PRs
- [ ] CI runs on all dependency PRs
- [ ] Minor/patch updates auto-merge
- [ ] Security alerts create urgent PRs
- [ ] Bundle size verified in CI
- [ ] Breaking changes detected before merge
- [ ] Documentation updated

## Benefits

**Security:**

- Automatic security patch updates
- Faster response to CVEs
- Reduced attack surface

**Maintenance:**

- Less manual work
- Stay current with ecosystem
- Catch breaking changes early

**Performance:**

- Access to latest optimizations
- Bug fixes automatically applied
- Framework improvements

## Related Issues

- Security improvements
- Developer experience
- CI/CD enhancements

## References

- [Dependabot - GitHub](https://docs.github.com/en/code-security/dependabot)
- [Renovate Bot](https://docs.renovatebot.com/)
- [npm Audit](https://docs.npmjs.com/cli/v8/commands/npm-audit)


Acceptance Criteria:
  1. Dependabot creates weekly PRs
  2. CI runs on all dependency PRs
  3. Minor/patch updates auto-merge
  4. Security alerts create urgent PRs
  5. Bundle size verified in CI
  6. Breaking changes detected before merge
  7. Documentation updated","","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100","1. Dependabot creates weekly PRs | 2. CI runs on all dependency PRs | 3. Minor/patch updates auto-merge | 4. Security alerts create urgent PRs | 5. Bundle size verified in CI | 6. Breaking changes detected before merge | 7. Documentation updated"
"gh-100-epic-story-1","gh-100-epic-story-1","AUTO","Story","Phase 1: Dependabot Setup (Day 1) - Set Up Automated Dependency Updates","Parent GitHub issue: https://github.com/kmcgarry1/edhrec-compare/issues/100

1. Create `.github/dependabot.yml`
2. Configure update schedule
3. Set up grouping rules
4. Test with a few dependencies","gh-100-epic","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100","1. Dependabot creates weekly PRs | 2. CI runs on all dependency PRs | 3. Minor/patch updates auto-merge | 4. Security alerts create urgent PRs | 5. Bundle size verified in CI | 6. Breaking changes detected before merge | 7. Documentation updated"
"gh-100-epic-story-1-task-1","gh-100-epic-story-1-task-1","AUTO","Sub-task","Create `.github/dependabot.yml`","Derived from Phase 1: Dependabot Setup (Day 1)","gh-100-epic-story-1","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-1-task-2","gh-100-epic-story-1-task-2","AUTO","Sub-task","Configure update schedule","Derived from Phase 1: Dependabot Setup (Day 1)","gh-100-epic-story-1","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-1-task-3","gh-100-epic-story-1-task-3","AUTO","Sub-task","Set up grouping rules","Derived from Phase 1: Dependabot Setup (Day 1)","gh-100-epic-story-1","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-1-task-4","gh-100-epic-story-1-task-4","AUTO","Sub-task","Test with a few dependencies","Derived from Phase 1: Dependabot Setup (Day 1)","gh-100-epic-story-1","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-2","gh-100-epic-story-2","AUTO","Story","Phase 2: CI Integration (Day 1) - Set Up Automated Dependency Updates","Parent GitHub issue: https://github.com/kmcgarry1/edhrec-compare/issues/100

1. Create dependency-test workflow
2. Add bundle size checks
3. Configure auto-merge for safe updates
4. Test auto-merge pipeline","gh-100-epic","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100","1. Dependabot creates weekly PRs | 2. CI runs on all dependency PRs | 3. Minor/patch updates auto-merge | 4. Security alerts create urgent PRs | 5. Bundle size verified in CI | 6. Breaking changes detected before merge | 7. Documentation updated"
"gh-100-epic-story-2-task-1","gh-100-epic-story-2-task-1","AUTO","Sub-task","Create dependency-test workflow","Derived from Phase 2: CI Integration (Day 1)","gh-100-epic-story-2","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-2-task-2","gh-100-epic-story-2-task-2","AUTO","Sub-task","Add bundle size checks","Derived from Phase 2: CI Integration (Day 1)","gh-100-epic-story-2","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-2-task-3","gh-100-epic-story-2-task-3","AUTO","Sub-task","Configure auto-merge for safe updates","Derived from Phase 2: CI Integration (Day 1)","gh-100-epic-story-2","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-2-task-4","gh-100-epic-story-2-task-4","AUTO","Sub-task","Test auto-merge pipeline","Derived from Phase 2: CI Integration (Day 1)","gh-100-epic-story-2","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-3","gh-100-epic-story-3","AUTO","Story","Phase 3: Monitoring (Ongoing) - Set Up Automated Dependency Updates","Parent GitHub issue: https://github.com/kmcgarry1/edhrec-compare/issues/100

1. Review weekly dependency PRs
2. Monitor for breaking changes
3. Adjust ignore rules as needed
4. Update docs with process","gh-100-epic","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100","1. Dependabot creates weekly PRs | 2. CI runs on all dependency PRs | 3. Minor/patch updates auto-merge | 4. Security alerts create urgent PRs | 5. Bundle size verified in CI | 6. Breaking changes detected before merge | 7. Documentation updated"
"gh-100-epic-story-3-task-1","gh-100-epic-story-3-task-1","AUTO","Sub-task","Review weekly dependency PRs","Derived from Phase 3: Monitoring (Ongoing)","gh-100-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-3-task-2","gh-100-epic-story-3-task-2","AUTO","Sub-task","Monitor for breaking changes","Derived from Phase 3: Monitoring (Ongoing)","gh-100-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-3-task-3","gh-100-epic-story-3-task-3","AUTO","Sub-task","Adjust ignore rules as needed","Derived from Phase 3: Monitoring (Ongoing)","gh-100-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
"gh-100-epic-story-3-task-4","gh-100-epic-story-3-task-4","AUTO","Sub-task","Update docs with process","Derived from Phase 3: Monitoring (Ongoing)","gh-100-epic-story-3","low-priority;maintenance;architecture","https://github.com/kmcgarry1/edhrec-compare/issues/100",""
